route_id,service_id,trip_id,trip_headsign,shape_id,block_id
17,1003,320095:426982:428740,CURRENT RIVER to Cowan,3593,428740
7,1003,319425:426983:428755,HUDSON to Shuniah St.,3577,428755
5,1004,318666:426984:428703,EDWARD to Waterfront,3555,428703
3C,1004,318632:426985:428678,COUNTY PARK to Castlegreen Dr,3605,428678
13,1004,318512:426986:428713,JOHN-JUMBO to County Fair,3572,428713
3M,995,321112:426987:428731,MEMORIAL to Northwood,3598,428731
1,1003,319578:426988:428694,MAINLINE to City Hall,3584,428694
18,1004,319023:426989:428739,WESTFORT to Mary,3509,428739
17,995,321191:426990:428750,CURRENT RIVER to Cowan,3593,428750
1,1003,319553:426991:428694,MAINLINE to City Hall,3609,428694
17,1003,320138:426992:428737,CURRENT RIVER to Cowan,3593,428737
15,1003,319129:426993:428747,BEVERLY to University,3608,428747
5,996,322353:426994:428743,EDWARD to Waterfront,3555,428743
18,1003,320185:426995:428726,WESTFORT to City Hall,3546,428726
3C,1003,319656:426996:428723,COUNTY PARK to Castlegreen Dr,3605,428723
17,1003,320139:426997:428694,CURRENT RIVER to Cowan,3593,428694
1,1004,318780:426998:428709,MAINLINE to Waterfront,3575,428709
5,996,322361:426999:428743,EDWARD to Waterfront,3555,428743
17,995,321171:427000:428750,CURRENT RIVER to Cowan,3593,428750
1,995,320898:427001:428673,MAINLINE to Waterfront,3575,428673
10,1006,319701:427002:428680,NORTHWOOD to College,3549,428680
10,1007,319701:427002:428758,NORTHWOOD to College,3549,428758
3J,1003,319765:427003:428698,JUMBO GARDENS to Sherwood Dr.,3571,428698
3M,1003,319405:427004:428723,MEMORIAL to County Park,3600,428723
1,1003,319595:427005:428707,MAINLINE to Waterfront,3575,428707
3C,1006,319635:427006:428680,COUNTY PARK to Castlegreen Dr,3605,428680
3C,1007,319635:427006:428758,COUNTY PARK to Castlegreen Dr,3605,428758
3M,1004,318730:427007:428712,MEMORIAL to Waterfront,3596,428712
9,995,321039:427008:428675,JUNOT to University,3585,428675
3C,995,320807:427009:428731,COUNTY PARK to Northwood,3576,428731
17,1004,318976:427010:428696,CURRENT RIVER to Cowan,3593,428696
15,1004,318458:427011:428672,BEVERLY to Intercity,3586,428672
3M,1003,319318:427012:428738,MEMORIAL to Jumbo Gardens,3590,428738
8,1003,319264:427013:428691,JAMES to College,3538,428691
8,1004,318905:427014:428706,JAMES to College,3538,428706
3J,995,320690:427015:428699,JUMBO GARDENS to Sherwood Dr.,3571,428699
8,1004,318920:427016:428706,JAMES to Intercity via College,3587,428706
1,996,322231:427017:428754,MAINLINE to City Hall,3609,428754
5,996,322352:427018:428710,EDWARD to Waterfront,3555,428710
17,995,321189:427019:428695,CURRENT RIVER to Cowan,3593,428695
3M,996,322326:427020:428744,MEMORIAL to Waterfront,3596,428744
3M,1004,318743:427021:428712,MEMORIAL to City Hall,3581,428712
17,1003,320106:427022:428669,CURRENT RIVER to Cowan,3593,428669
8,1004,318910:427023:428706,JAMES to City Hall via College,3569,428706
3M,1004,318688:427024:428678,MEMORIAL to County Park,3600,428678
3M,995,321105:427025:428741,MEMORIAL to Northwood,3583,428741
9,1003,319506:427026:428729,JUNOT to Waterfront,3599,428729
3C,995,320841:427027:428731,COUNTY PARK to Castlegreen Dr,3605,428731
3M,1006,319384:427028:428751,MEMORIAL to Jumbo Gardens,3590,428751
3M,1007,319384:427028:428759,MEMORIAL to Jumbo Gardens,3590,428759
3C,1003,319622:427029:428674,COUNTY PARK to Northwood,3576,428674
3M,995,321098:427030:428677,MEMORIAL to City Hall,3581,428677
3J,995,320700:427031:428677,JUMBO GARDENS to Sherwood Dr.,3571,428677
9,1003,319484:427032:428737,JUNOT to University,3585,428737
11,1003,319883:427033:428693,JOHN to Waterfront,3606,428693
3C,1004,318623:427034:428678,COUNTY PARK to Castlegreen Dr,3605,428678
18,1004,319035:427035:428739,WESTFORT to Mary,3509,428739
3M,996,322290:427036:428744,MEMORIAL to City Hall,3581,428744
3J,995,320695:427037:428699,JUMBO GARDENS to Sherwood Dr.,3571,428699
3M,1003,319377:427038:428676,MEMORIAL to County Park,3595,428676
8,996,322089:427039:428702,JAMES to Intercity via College,3587,428702
3M,995,321073:427040:428677,MEMORIAL to Jumbo Gardens,3590,428677
7,996,322136:427041:428732,HUDSON to Shuniah St.,3577,428732
13,996,322493:427042:428732,JOHN-JUMBO to Waterfront,3588,428732
1,1004,318810:427043:428739,MAINLINE to City Hall,3609,428739
5,1004,318669:427044:428701,EDWARD to Waterfront,3555,428701
3C,995,320817:427045:428731,COUNTY PARK to Northwood,3576,428731
11,1003,319891:427046:428755,JOHN to Waterfront,3606,428755
3M,996,322285:427047:428717,MEMORIAL to Northwood,3583,428717
8,995,320422:427048:428719,JAMES to College,3538,428719
8,996,322107:427049:428683,JAMES to College,3538,428683
3C,995,320804:427050:428741,COUNTY PARK to Northwood,3576,428741
2,1003,319199:427051:428725,CROSSTOWN to Westfort,3597,428725
1,996,322250:427052:428754,MAINLINE to City Hall,3609,428754
3J,1003,319770:427053:428698,JUMBO GARDENS to Sherwood Dr.,3571,428698
7,995,320957:427054:428753,HUDSON to Shuniah St.,3577,428753
5,1003,319803:427055:428727,EDWARD to Waterfront,3555,428727
17,1004,319000:427056:428739,CURRENT RIVER to Waterfront,3603,428739
1,995,320919:427057:428695,MAINLINE to City Hall,3584,428695
3M,1003,319298:427058:428738,MEMORIAL to Jumbo Gardens,3590,428738
3C,1006,319671:427059:428680,COUNTY PARK to Castlegreen Dr,3605,428680
3C,1007,319671:427059:428758,COUNTY PARK to Castlegreen Dr,3605,428758
3J,1006,319772:427060:428751,JUMBO GARDENS to Sherwood Dr.,3571,428751
3J,1007,319772:427060:428759,JUMBO GARDENS to Sherwood Dr.,3571,428759
17,1004,319005:427061:428709,CURRENT RIVER to Waterfront,3603,428709
11,1003,319866:427062:428755,JOHN to Windsor St.,3601,428755
13,1004,318506:427063:428713,JOHN-JUMBO to County Fair,3572,428713
8,1003,319229:427064:428691,JAMES to Intercity via College,3587,428691
1,1004,318779:427065:428696,MAINLINE to Waterfront,3575,428696
7,996,322140:427066:428732,HUDSON to Shuniah St.,3577,428732
5,995,320738:427067:428733,EDWARD to Waterfront,3555,428733
